t_ms,raw,avg,var,maxminusmin,lastminusfirst,label
41830,86014,85311,122953,1150,1150, NO_EVENT
41855,88490,86829,594739,2476,2476, NO_EVENT
41880,133352,104108,60470786,44862,44862, TOUCHED
41905,220952,206542,161507367,87600,87600, TOUCHED
41930,221026,220760,64571,529,74, TOUCHED
41955,220706,220705,15212,395,-320, TOUCHED
41980,220452,220204,107749,834,-254, TOUCHED
42005,93646,128405,99488487,126806,-126806, UNTOUCHED
42030,87895,89955,3918213,5751,-5751, NO_EVENT
42055,84938,86519,775298,2957,-2957, NO_EVENT
42080,83430,84101,438307,1801,-1508, NO_EVENT
42105,82742,82941,99233,881,-688, NO_EVENT
42130,82745,82775,23611,438,3, NO_EVENT
42155,82617,82717,10926,305,-77, NO_EVENT
42180,82548,82681,20548,415,-69, NO_EVENT
42205,83042,82670,21233,494,494, NO_EVENT
42230,83203,83071,78245,815,161, NO_EVENT
42255,83589,83204,53156,659,283, NO_EVENT
42280,85961,84324,399061,2250,2246, NO_EVENT
42305,91317,87955,4237188,5356,5356, NO_EVENT
42330,291600,211486,6460478,200283,200283, TOUCHED
42355,342237,333355,92492286,52367,50637, TOUCHED
42380,95966,206680,88463218,246271,-246271, UNTOUCHED
42405,88908,90739,2659420,4096,-4096, NO_EVENT
42430,86295,87344,622803,2613,-2613, NO_EVENT
42455,86412,86408,6603,227,117, NO_EVENT
42480,84905,85499,155255,1507,-1507, NO_EVENT
42505,85449,85355,32423,527,77, NO_EVENT
42530,85728,85585,46593,594,250, NO_EVENT
42555,86536,86155,45551,808,808, NO_EVENT
42580,89290,87509,555294,2754,2754, NO_EVENT
42605,93331,90550,2294720,4041,4041, NO_EVENT
42630,363545,149373,133551777,270214,270214, TOUCHED
42655,363498,363531,446,47,-47, TOUCHED
42680,92062,180226,73452689,271436,-271436, UNTOUCHED
42705,86230,88981,2216181,5832,-5832, NO_EVENT
42730,84744,85548,489902,1967,-1486, NO_EVENT
42755,83866,84560,169850,1358,-878, NO_EVENT
42780,83664,83918,36684,478,-171, NO_EVENT
42805,83484,83573,25161,523,-384, NO_EVENT
42830,83334,83422,32982,506,-150, NO_EVENT
42855,84123,83715,85529,789,789, NO_EVENT
42880,84222,84081,39818,555,99, NO_EVENT
42905,85747,85208,154684,1525,1525, NO_EVENT
42930,88794,87017,1119938,2995,2643, NO_EVENT
42955,96400,93848,8564519,6524,6524, TOUCHED
42980,338031,289704,64557067,241631,241631, TOUCHED
43005,363980,364737,143489,947,-947, TOUCHED
43030,108235,216616,4989873,255745,-255745, TOUCHED
43055,91187,96390,19418119,17048,-17048, UNTOUCHED
43080,89037,89602,355153,2171,-2150, NO_EVENT
43105,86834,87842,453544,2203,-2203, NO_EVENT
43130,86616,86919,241124,1289,-218, NO_EVENT
43155,86708,86566,45683,545,92, NO_EVENT
43180,85917,86627,184703,1402,-791, NO_EVENT
43205,86483,86315,112552,922,566, NO_EVENT
43230,86975,86721,39338,510,492, NO_EVENT
43255,89219,87769,444642,2315,2244, NO_EVENT
43280,125964,96666,164743244,36745,36745, TOUCHED
43305,362341,211059,160286248,236377,236377, TOUCHED
43330,363409,362939,281049,1068,1068, TOUCHED
43355,229442,331680,36804202,134782,-133967, TOUCHED
43380,90912,97687,36100856,17162,-17162, UNTOUCHED
43405,86464,88795,1319574,4448,-4448, NO_EVENT
43430,84862,85846,288084,1604,-1602, NO_EVENT
43455,84072,84495,273690,1281,-790, NO_EVENT
43480,83665,83757,25206,407,-1, NO_EVENT
43505,83320,83459,15677,348,-136, NO_EVENT
43530,83174,83261,29361,528,-146, NO_EVENT
43555,83494,83359,49203,627,320, NO_EVENT
43580,86117,84726,621689,2623,2623, NO_EVENT
43605,127658,114777,9026156,41541,41541, TOUCHED
43630,303256,303452,18174,289,-289, TOUCHED
43655,305094,304432,778347,1838,1838, TOUCHED
43680,302537,305425,3335322,4098,-2557, TOUCHED
43705,97943,221753,145798095,204594,-204594, TOUCHED
43730,87132,90651,7043649,10811,-10811, UNTOUCHED
43755,85592,86387,604594,2128,-1540, NO_EVENT
43780,84611,85120,119619,981,-981, NO_EVENT
43805,83819,84054,46217,792,-792, NO_EVENT
43830,83983,83801,33247,461,263, NO_EVENT
43855,84420,84048,32446,640,437, NO_EVENT
43880,85845,85114,254805,1425,1425, NO_EVENT
43905,89979,87951,2145125,4134,4134, NO_EVENT
43930,302420,188475,96897869,167566,167566, TOUCHED
43955,303303,302985,179640,883,883, TOUCHED
43980,288871,299098,49243388,15079,-14432, TOUCHED
44005,91201,130156,33622174,197670,-197670, UNTOUCHED
44030,87946,89534,1011837,3255,-3255, NO_EVENT
44055,86124,87056,481558,1828,-1822, NO_EVENT
44080,85233,85728,60932,891,-891, NO_EVENT
44105,84707,84932,40841,574,-526, NO_EVENT
44130,84722,84916,21547,401,15, NO_EVENT
44155,85864,85012,283070,1516,1142, NO_EVENT
44180,86457,85918,147752,946,593, NO_EVENT
44205,91512,88606,2216857,5055,5055, NO_EVENT
44230,317200,139342,7191168,225688,225688, TOUCHED
44255,323230,320094,9075680,6030,6030, TOUCHED
44280,320220,323219,379154,3163,-3010, TOUCHED
44305,320807,320407,74978,587,587, TOUCHED
44330,101892,272596,15851440,218915,-218915, TOUCHED
44355,90136,94697,16711537,11756,-11756, UNTOUCHED
44380,86694,88185,792252,2577,-2577, NO_EVENT
44405,86161,86665,120403,1045,-533, NO_EVENT
44430,84951,85289,42003,619,-619, NO_EVENT
44455,84727,84766,35450,523,-54, NO_EVENT
44480,85842,84873,91150,1346,1115, NO_EVENT
44505,88613,86606,523237,2771,2771, NO_EVENT
44530,143225,96462,127969486,54612,54612, TOUCHED
44555,223247,192759,90162943,82947,80022, TOUCHED
44580,222618,223155,39604,629,-629, TOUCHED
44605,220178,221971,557027,2440,-2440, TOUCHED
44630,99057,198810,60011770,121121,-121121, TOUCHED
44655,88851,92357,12452338,10206,-10206, UNTOUCHED
44680,85642,87103,1209699,3099,-2982, NO_EVENT
