id,raw,avg,var,maxminusmin,lastminusfirst,label
7822,84776,84833,4631,207,65, TOUCHED
7823,85110,84902,18248,362,334, TOUCHED
7824,72199,81118,26493266,12850,-12850, UNTOUCHED
7825,70595,71245,239880,1604,-1604, NO_EVENT
7826,70185,70348,14528,410,-410, NO_EVENT
7827,70097,70125,1277,91,-88, NO_EVENT
7828,70329,70195,4905,232,232, NO_EVENT
7829,71371,70794,115967,978,978, NO_EVENT
7830,84841,80890,25028250,13024,13024, TOUCHED
7831,84781,84826,1959,129,-60, TOUCHED
7832,84724,84764,1692,125,-57, TOUCHED
7833,83625,84316,104117,1099,-1099, TOUCHED
7834,69887,72879,21740807,13738,-13738, UNTOUCHED
7835,69642,69743,5336,245,-245, NO_EVENT
7836,69673,69653,362,55,30, NO_EVENT
7837,69772,69712,394,87,87, NO_EVENT
7838,69881,69816,1345,109,109, NO_EVENT
7839,69851,69869,150,34,-30, NO_EVENT
7840,69828,69849,346,49,-23, NO_EVENT
7841,69726,69773,1819,102,-102, NO_EVENT
7842,69641,69691,1500,98,-97, NO_EVENT
7843,69501,69584,2014,142,-142, NO_EVENT
7844,69390,69453,1450,111,-111, NO_EVENT
7845,69370,69370,677,78,-20, NO_EVENT
7846,69233,69290,1703,137,-137, NO_EVENT
7847,69122,69176,1882,111,-111, NO_EVENT
7848,68993,69036,1935,127,-87, NO_EVENT
7849,68901,68924,2155,139,-92, NO_EVENT
7850,68709,68805,3608,192,-192, NO_EVENT
7851,68647,68669,2300,144,-62, NO_EVENT
7852,68527,68580,1462,134,-53, NO_EVENT
7853,68371,68462,2417,156,-156, NO_EVENT
7854,68466,68450,1420,124,95, NO_EVENT
7855,68441,68458,519,60,-33, NO_EVENT
7856,68503,68478,939,91,34, NO_EVENT
7857,68581,68526,1763,120,78, NO_EVENT
7858,68731,68641,2478,151,150, NO_EVENT
7859,68985,68852,5049,254,254, NO_EVENT
7860,69485,69193,22161,500,500, NO_EVENT
7861,78653,70661,5693854,9168,9168, NO_EVENT
7862,85800,84997,5490345,7240,7147, TOUCHED
7863,71069,78300,45218095,14731,-14731, UNTOUCHED
7864,70114,70559,91674,955,-955, NO_EVENT
7865,69704,69897,15647,410,-410, NO_EVENT
7866,69597,69668,1757,124,-107, NO_EVENT
7867,69688,69631,706,91,91, NO_EVENT
7868,70175,69916,22431,487,487, NO_EVENT
7869,85823,74928,42717564,15523,15523, TOUCHED
7870,85517,85791,15630,373,-306, TOUCHED
7871,71141,75897,27271341,14376,-14376, UNTOUCHED
7872,70059,70511,93499,1082,-1082, NO_EVENT
7873,69577,69757,19504,482,-482, NO_EVENT
7874,69349,69405,4705,253,-228, NO_EVENT
7875,69416,69325,1128,127,118, NO_EVENT
7876,69856,69565,13955,440,440, NO_EVENT
7877,85662,75163,40054637,15806,15806, TOUCHED
7878,85659,85720,1088,95,-95, TOUCHED
7879,71830,82099,19232962,13840,-13840, UNTOUCHED
7880,69749,70547,347607,2081,-2081, NO_EVENT
7881,69113,69405,36879,636,-636, NO_EVENT
7882,68949,68993,4084,182,-135, NO_EVENT
7883,68946,68896,488,81,72, NO_EVENT
7884,69340,69094,15525,394,394, NO_EVENT
7885,84917,71225,16581715,15577,15577, TOUCHED
7886,85362,85362,37656,708,445, TOUCHED
7887,83464,84857,362984,1898,-1898, TOUCHED
7888,70994,78561,11051364,12470,-12470, UNTOUCHED
7889,69479,70062,197321,1515,-1515, NO_EVENT
7890,69037,69233,21390,442,-442, NO_EVENT
7891,69002,69003,382,73,-35, NO_EVENT
7892,69121,69046,1028,116,116, NO_EVENT
7893,69285,69192,2861,164,164, NO_EVENT
7894,69887,69557,28702,602,602, NO_EVENT
7895,82926,75132,35332909,13039,13039, TOUCHED
7896,85789,85770,2146,139,114, TOUCHED
7897,71270,78578,41622686,14519,-14519, UNTOUCHED
7898,69980,70403,110115,938,-938, NO_EVENT
7899,69662,69752,4478,217,-217, NO_EVENT
7900,69672,69652,788,81,10, NO_EVENT
7901,70041,69824,14631,369,369, NO_EVENT
7902,71365,70551,158268,1324,1324, NO_EVENT
7903,85770,83342,18631057,14437,14405, TOUCHED
7904,73793,82395,21872026,11993,-11977, UNTOUCHED
7905,71521,72088,212668,1342,-1342, NO_EVENT
7906,70727,71060,48833,676,-676, NO_EVENT
7907,70496,70608,3821,231,-231, NO_EVENT
7908,70485,70485,240,49,-11, NO_EVENT
7909,70716,70582,5481,231,231, NO_EVENT
7910,71462,71014,48967,746,746, NO_EVENT
7911,85884,79753,42428988,14422,14422, TOUCHED
7912,83375,85235,895257,2509,-2509, TOUCHED
7913,70949,72033,1487229,3675,-3675, UNTOUCHED
7914,69946,70362,52847,786,-786, NO_EVENT
7915,69656,69782,9902,290,-290, NO_EVENT
7916,69550,69580,2172,136,-106, NO_EVENT
7917,69553,69542,795,85,3, NO_EVENT
7918,69858,69684,9456,305,305, NO_EVENT
7919,83309,73171,21346893,13389,13389, TOUCHED
7920,83480,84716,703939,2298,171, TOUCHED
7921,72014,76803,17815401,11466,-11466, UNTOUCHED
7922,70659,71242,180379,1355,-1355, NO_EVENT
7923,70158,70318,15696,501,-501, NO_EVENT
7924,70180,70138,689,76,22, NO_EVENT
7925,70633,70417,19504,404,404, NO_EVENT
7926,78581,72467,7283687,7806,7806, NO_EVENT
7927,84230,84837,1822581,6788,5649, TOUCHED
7928,72390,76954,16220335,10242,-10242, UNTOUCHED
7929,71001,71556,139148,1389,-1389, NO_EVENT
7930,70311,70567,38050,690,-690, NO_EVENT
7931,69968,70087,6044,235,-235, NO_EVENT
7932,69733,69829,5248,200,-197, NO_EVENT
7933,69707,69713,275,53,-26, NO_EVENT
7934,69733,69717,358,53,26, NO_EVENT
7935,69969,69820,5034,236,236, NO_EVENT
7936,70599,70251,30850,630,630, NO_EVENT
7937,85397,79068,42426540,15056,14589, TOUCHED
7938,83004,85065,422209,2729,-2393, TOUCHED
7939,70701,75512,20396866,12303,-12303, UNTOUCHED
7940,69617,70064,113476,1084,-1084, NO_EVENT
7941,69250,69431,11696,367,-367, NO_EVENT
7942,69153,69209,1026,105,-97, NO_EVENT
7943,69159,69142,590,78,6, NO_EVENT
7944,69428,69261,4859,246,215, NO_EVENT
7945,70215,69730,52200,787,787, NO_EVENT
7946,85949,77984,46786212,15734,15734, TOUCHED
7947,84685,85710,213758,1304,-1264, TOUCHED
7948,70884,73838,12315378,9703,-9703, UNTOUCHED
7949,69546,70009,114362,992,-992, NO_EVENT
7950,68857,69145,31094,555,-555, NO_EVENT
7951,68505,68691,13527,352,-352, NO_EVENT
7952,68566,68501,1188,118,61, NO_EVENT
7953,68792,68634,12087,336,336, NO_EVENT
7954,69743,69149,66578,924,924, NO_EVENT
7955,83850,79328,32142905,14890,14107, TOUCHED
7956,83351,83425,121403,970,-499, TOUCHED
7957,82756,82986,35829,595,-595, TOUCHED
7958,82245,82912,89946,972,-798, TOUCHED
7959,70499,77487,18737350,11746,-11746, UNTOUCHED
7960,69636,69927,45209,642,-642, NO_EVENT
7961,69497,69533,2774,165,-139, NO_EVENT
7962,69965,69672,18259,468,468, NO_EVENT
7963,83377,72100,12738527,13412,13412, TOUCHED
7964,85705,85260,503742,2329,2328, TOUCHED
7965,85752,85772,918,103,47, TOUCHED
7966,85598,85724,3320,184,-154, TOUCHED
7967,76468,83822,10439786,9130,-9130, UNTOUCHED
7968,69791,70394,284497,1562,-1562, NO_EVENT
7969,69202,69442,21762,474,-474, NO_EVENT
7970,69016,69093,2470,186,-186, NO_EVENT
7971,69059,69018,723,75,43, NO_EVENT
7972,69460,69225,15781,401,401, NO_EVENT
7973,85556,72793,26091230,16016,16016, TOUCHED
7974,85339,85579,19762,413,-217, TOUCHED
7975,84136,84911,200467,1203,-1203, TOUCHED
7976,71041,75563,21540488,11707,-11707, UNTOUCHED
7977,69684,70169,132627,1037,-1037, NO_EVENT
7978,69191,69393,18081,429,-429, NO_EVENT
7979,69335,69207,2315,182,144, NO_EVENT
7980,70421,69685,91091,1086,1086, NO_EVENT
7981,85586,83329,23424732,15165,15165, TOUCHED
7982,85373,85521,6011,253,-213, TOUCHED
7983,79025,83696,4724479,6348,-6348, UNTOUCHED
7984,69256,70529,1829512,4189,-4189, NO_EVENT
7985,68639,68958,32929,617,-617, NO_EVENT
7986,68366,68521,11386,293,-273, NO_EVENT
7987,68072,68194,6572,294,-294, NO_EVENT
7988,67976,67999,3226,164,-108, NO_EVENT
7989,67997,67965,5248,204,21, NO_EVENT
7990,68338,68098,22283,410,341, NO_EVENT
7991,68981,68588,37667,646,646, NO_EVENT
7992,75186,69777,1392687,6205,6205, NO_EVENT
7993,85381,83964,14685151,10522,10195, TOUCHED
7994,70208,75910,41710215,15173,-15173, UNTOUCHED
7995,69606,69860,38136,602,-602, NO_EVENT
7996,69367,69438,5600,239,-239, NO_EVENT
7997,69440,69370,1239,109,73, NO_EVENT
7998,69702,69567,7037,255,255, NO_EVENT
7999,71081,70263,208478,1309,1309, NO_EVENT
8000,85685,85052,1341322,2945,2943, TOUCHED
8001,73289,83497,12618401,12340,-12340, UNTOUCHED
8002,70228,71137,621708,3061,-3061, NO_EVENT
8003,69587,69864,38995,641,-641, NO_EVENT
8004,69368,69441,5132,219,-219, NO_EVENT
8005,69293,69295,184,45,16, NO_EVENT
8006,69504,69387,5709,246,246, NO_EVENT
8007,69956,69690,21002,452,452, NO_EVENT
8008,71116,70415,106566,1160,1160, NO_EVENT
8009,85710,80788,38436189,14682,14594, TOUCHED
8010,71438,76969,34834024,14272,-14272, UNTOUCHED
8011,70553,70914,74542,885,-885, NO_EVENT
8012,70122,70292,13926,431,-431, NO_EVENT
8013,69869,69956,5156,253,-253, NO_EVENT
8014,69824,69837,672,68,-39, NO_EVENT
8015,69937,69861,1261,116,99, NO_EVENT
8016,70098,70023,2463,161,161, NO_EVENT
8017,70258,70179,1349,160,160, NO_EVENT
8018,70647,70419,14534,389,389, NO_EVENT
8019,85667,76020,37132092,15020,15020, TOUCHED
8020,85523,85740,3814,277,-144, TOUCHED
8021,71135,77266,33653131,14388,-14388, UNTOUCHED
8022,69594,70110,127593,1100,-1100, NO_EVENT
8023,69181,69340,20316,413,-413, NO_EVENT
8024,68996,69074,2232,185,-185, NO_EVENT
8025,69217,69100,4514,221,221, NO_EVENT
8026,69798,69526,31161,504,504, NO_EVENT
8027,84168,73351,24401391,14164,14164, TOUCHED
8028,84205,84343,11375,293,37, TOUCHED
8029,76124,81621,5881780,7871,-7871, UNTOUCHED
8030,74675,75910,2600287,4009,-1449, NO_EVENT
8031,69614,70905,2841851,5018,-5018, NO_EVENT
8032,69070,69312,28566,544,-544, NO_EVENT
8033,68835,68906,5236,240,-235, NO_EVENT
8034,68626,68709,3250,209,-209, NO_EVENT
8035,68563,68574,519,73,-32, NO_EVENT
8036,68546,68553,721,77,-17, NO_EVENT
8037,68587,68544,720,79,41, NO_EVENT
8038,68657,68621,1410,107,70, NO_EVENT
8039,68859,68717,3431,221,221, NO_EVENT
8040,69031,68945,4580,212,172, NO_EVENT
8041,69302,69188,7427,271,271, NO_EVENT
8042,69728,69544,15422,426,426, NO_EVENT
8043,70252,69989,30141,476,476, NO_EVENT
8044,71100,70721,69723,772,772, NO_EVENT
8045,72817,71961,284161,1501,1501, NO_EVENT
8046,90539,89017,5713517,6269,6269, TOUCHED
8047,90877,90746,9603,338,338, TOUCHED
8048,91453,91217,26720,576,576, TOUCHED
8049,91776,91583,14239,323,323, TOUCHED
8050,91996,91892,5331,220,220, TOUCHED
8051,92165,92089,1385,169,169, TOUCHED
8052,92269,92231,2466,127,104, TOUCHED
8053,92585,92420,12487,316,316, TOUCHED
8054,93209,92859,34762,533,530, TOUCHED
8055,94916,93970,185278,1707,1707, TOUCHED
8056,180653,116516,96889861,85737,85737, TOUCHED
8057,180653,180653,0,0,0, TOUCHED
8058,201615,413734,67062632,518296,20962, TOUCHED
8059,96602,100586,12818799,9864,-9864, TOUCHED
8060,94543,95304,437130,2059,-2059, TOUCHED
8061,94210,94197,1603,115,-28, TOUCHED
8062,95644,94628,190033,1434,1434, TOUCHED
8063,114035,106934,75736018,18391,18391, TOUCHED
8064,114035,114035,0,0,0, TOUCHED
8065,779445,699595,27317251,665410,665410, TOUCHED
8066,105498,263765,81105008,673947,-673947, TOUCHED
8067,160188,121003,65985390,54690,54690, TOUCHED
8068,160188,160188,0,0,0, TOUCHED
8069,160188,160188,0,0,0, TOUCHED
8070,1050025,978838,37451117,889837,889837, TOUCHED
8071,1050025,1050025,0,0,0, TOUCHED
8072,1050025,1050025,0,0,0, TOUCHED
8073,1050025,1050025,0,0,0, TOUCHED
8074,2230922,1097260,120087463,1180897,1180897, TOUCHED
8075,2230922,2230922,0,0,0, TOUCHED
8076,2230922,2230922,0,0,0, TOUCHED
8077,2230922,2230922,0,0,0, TOUCHED
8078,2230922,2230922,0,0,0, TOUCHED
8079,2230922,2230922,0,0,0, TOUCHED
8080,2476191,2378083,6561652,245269,245269, TOUCHED
8081,2476191,2476191,0,0,0, TOUCHED
8082,2476191,2476191,0,0,0, TOUCHED
8083,2476191,2476191,0,0,0, TOUCHED
8084,2476191,2476191,0,0,0, TOUCHED
8085,2476191,2476191,0,0,0, TOUCHED
