      -310, 
    180277,      74213,      74203,      17817,        519,       -272, NO_EVENT
    180302,      74556,      74197,      50682,        624,        343, NO_EVENT
    180327,      74058,      74343,      36586,        498,       -498, NO_EVENT
    180352,      74009,      74368,      45197,        584,       -584, NO_EVENT
    180377,      74065,      74190,      10280,        284,       -284, NO_EVENT
    180402,      74324,      74153,      59122,        733,        259, NO_EVENT
    180427,      74303,      74174,      28197,        486,        -21, NO_EVENT
    180452,      74433,      74046,      99359,        807,        130, NO_EVENT
    180477,      74163,      74347,      26346,        456,       -270, NO_EVENT
    180502,      74434,      74366,      54808,        700,        339, NO_EVENT
    180527,      74224,      74248,      27450,        532,       -210, NO_EVENT
    180552,      74423,      74225,      91205,        980,        199, NO_EVENT
    180577,      73955,      74113,      45779,        666,       -468, NO_EVENT
    180602,      73827,      74102,      53654,        579,       -128, NO_EVENT
    180627,      73789,      73935,      35205,        569,       -244, NO_EVENT
    180652,      74141,      74265,       6010,        251,       -119, NO_EVENT
    180677,      73993,      74074,      45049,        647,       -148, NO_EVENT
    180702,      74183,      74172,      42811,        590,        190, NO_EVENT
    180727,      74296,      74294,      24342,        392,        113, NO_EVENT
    180752,      73946,      74074,      49892,        573,       -350, NO_EVENT
    180777,      74041,      74300,      30857,        527,       -527, NO_EVENT
    180802,      74337,      73996,      51978,        789,        370, NO_EVENT
    180827,      74259,      74172,      33212,        563,        -78, NO_EVENT
    180852,      74205,      74171,      42211,        602,        -54, NO_EVENT
    180877,      74165,      74216,      32209,        520,        -40, NO_EVENT
    180902,      73906,      74228,      83477,        671,       -259, NO_EVENT
    180927,      73960,      74258,      51403,        618,       -395, NO_EVENT
    180952,      74464,      74169,      37315,        533,        504, NO_EVENT
    180977,      74318,      74328,       7231,        288,       -146, NO_EVENT
    181002,      74611,      74268,      27536,        641,        293, NO_EVENT
    181027,      73777,      74234,      81505,        834,       -834, NO_EVENT
    181052,      74000,      74210,      25992,        458,       -458, NO_EVENT
    181077,      74216,      74172,      20653,        434,        216, NO_EVENT
    181102,      74052,      74125,      27600,        489,       -164, NO_EVENT
    181127,      74284,      74117,      59938,        611,        232, NO_EVENT
    181152,      73965,      74120,      44526,        638,       -319, NO_EVENT
    181177,      74206,      74219,      53647,        655,        -81, NO_EVENT
    181202,      74185,      74319,      58198,        630,        -24, NO_EVENT
    181227,      74304,      74191,      53882,        683,        119, NO_EVENT
    181252,      74527,      74186,      80615,        772,        223, NO_EVENT
    181277,      74480,      74301,      45435,        537,        -47, NO_EVENT
    181302,      73896,      74305,      52620,        610,       -584, NO_EVENT
    181327,      73908,      74245,      36205,        600,       -375, NO_EVENT
    181352,      74506,      74255,      93782,        793,        598, NO_EVENT
    181377,      74627,      74259,     122681,       1008,        121, NO_EVENT
    181402,      74328,      74277,      67874,        794,       -299, NO_EVENT
    181427,      74126,      74361,      15093,        324,       -202, NO_EVENT
    181452,      74202,      74349,      11597,        273,       -273, NO_EVENT
    181477,      74434,      74394,      58838,        657,       -179, NO_EVENT
    181502,      74435,      74168,      34662,        490,          1, NO_EVENT
    181527,      74670,      74420,      48006,        609,        235, NO_EVENT
    181552,      73705,      74265,     117712,        981,       -965, NO_EVENT
    181577,      74210,      74410,      31092,        445,       -329, NO_EVENT
    181602,      74614,      74373,      54836,        670,        555, NO_EVENT
    181627,      74200,      74478,      76059,        665,       -414, NO_EVENT
    181652,      74300,      74216,      23098,        456,        100, NO_EVENT
    181677,      74597,      74257,      40156,        754,        297, NO_EVENT
    181702,      73939,      74400,      63352,        708,       -658, NO_EVENT
    181727,      74086,      74220,      68797,        688,       -325, NO_EVENT
    181752,      74382,      74214,     102024,        952,        296, NO_EVENT
    181777,      74658,      74330,      44364,        573,        276, NO_EVENT
    181802,      74333,      74228,      50384,        759,       -325, NO_EVENT
    181827,      74134,      74303,      70855,        722,       -199, NO_EVENT
    181852,      74032,      74208,      21202,        390,       -273, NO_EVENT
    181877,      74598,      74300,      42722,        669,        566, NO_EVENT
    181902,      74496,      74262,      71891,        759,       -102, NO_EVENT
    181927,      74394,      74376,      54246,        770,       -102, NO_EVENT
    181952,      73777,      74168,      45142,        617,       -617, NO_EVENT
    181977,      74219,      74274,      12733,        271,       -199, NO_EVENT
    182002,      74219,      74299,      21020,        447,       -124, NO_EVENT
    182027,      74446,      74271,      27748,        497,        227, NO_EVENT
    182052,      74147,      74218,      69078,        709,       -299, NO_EVENT
    182077,      74763,      74345,      39896,        693,        616, NO_EVENT
    182102,      74384,      74401,      34467,        621,       -379, NO_EVENT
    182127,      74167,      74406,      30840,        533,       -533, NO_EVENT
    182152,      74569,      74201,      58423,        705,        402, NO_EVENT
    182177,      74545,      74374,      76220,        767,        -24, NO_EVENT
    182202,      74941,      74505,      45737,        784,        396, NO_EVENT
